id,key,subject,sender,recipient,date,msg,tags,concepts,class
1,odbc://SAS_1970s/dbo.SAS_Docs/1544010,,STOCKHOLM,STATE,14-Aug-74,,"PFOR, CPRS, SW, (LINDZEN, LEIF)",,LIMITED OFFICIAL USE
2,odbc://SAS_1970s/dbo.SAS_Docs/1659937,"EXTRADITION - [Sensitive Information Removed, NARA 3/1/2006]",THE HAGUE,STATE,2-Aug-74,,"CPRS, PFOR, NL, ([Sensitive Information Removed, NARA 3/01/2006])",,LIMITED OFFICIAL USE
3,odbc://SAS_1970s/dbo.SAS_Docs/1677997,,STATE,THE HAGUE,1-Aug-74,,"CPRS, PFOR, NL, (CARROLL, JOEL ALLEN)",,LIMITED OFFICIAL USE
4,odbc://SAS_1970s/dbo.SAS_Docs/1536523,REFUGEES,BELGRADE,STATE,16-Aug-74,,"SREF, (MAKSIMOVIC, MILAN)","REFUGEES, REFUGEE RESETTLEMENT, VISAS",LIMITED OFFICIAL USE
5,odbc://SAS_1970s/dbo.SAS_Docs/1670256,BOULDER-NAME CHECK,VIENNA,STATE FBI,1-Aug-74,,"CVIS, ASEC, (HAMDI, ZYED IBRAHIM), (IBRAHIM, ZAYED HAMDI)",n/a,CONFIDENTIAL
6,odbc://SAS_1970s/dbo.SAS_Docs/1420793,NBS/SFCP OFFICIAL TRAVEL DR WOLFGANG L. WIESE,STATE,WARSAW,27-Aug-74,,"TPHY, OTRA, PO, (WIESE, WOLFGANG L)","SCIENTIFIC COOPERATION, SCIENTIFIC VISITS, SEMINARS",UNCLASSIFIED
7,odbc://SAS_1970s/dbo.SAS_Docs/1461287,VISITS OF RITTENHOUSE AND COWAN,EC BRUSSELS,PARIS,23-Aug-74,,"TECH, (RITTENHOUSE, PHILIP LOREN), (COWAN, GEORGE ARTHUR)",VISITS,UNCLASSIFIED
8,odbc://SAS_1970s/dbo.SAS_Docs/1518571,"GUINEA EMERGENCY GRAIN SHIPMENT 1,000 MTS SOGGHUM",DAKAR,CONAKRY,17-Aug-74,,"EAID, OTRA, SG, US","ECONOMIC ASSISTANCE, AFDROUGHT, DROUGHTS, GRAINS",UNCLASSIFIED
9,odbc://SAS_1970s/dbo.SAS_Docs/1506249,"EVACUATION FROM CYPRUS FOLLOWING AMERICAN CITIZENS, RESIDENTS OF  CYPRUS, ARRIVED STUTTGART",STUTTGART,STATE ATHENS,19-Aug-74,,"CASC, AEMR, CY, GE",EMERGENCY EVACUATION,UNCLASSIFIED
10,odbc://SAS_1970s/dbo.SAS_Docs/1402890,DOL SEMINAR,STATE,WARSAW,28-Aug-74,,"ELAB, PL","LABOR, SEMINARS",UNCLASSIFIED
11,odbc://SAS_1970s/dbo.SAS_Docs/1593017,,SYDNEY,STATE,29-Aug-74,,"CPAS, ASEC, AS",n/a,UNCLASSIFIED
12,odbc://SAS_1970s/dbo.SAS_Docs/1479026,,WARSAW,BUENOS AIRES,21-Aug-74,,"APER, ASEC",n/a,UNCLASSIFIED
13,odbc://SAS_1970s/dbo.SAS_Docs/1596630,"THREATENED BOMBING OF MEXICAN CONSULATE GENERAL IN MONTREAL, CANADA",MEXICO,STATE,9-Aug-74,,"PINS, MX, CA, US, (SIBLING), (CROCKETT, STEVEN), (MIRTICH, JEAN)","BOMBING, THREATS, CONSULATES, PRISONERS RELEASE, EXTORTION",UNCLASSIFIED
14,odbc://SAS_1970s/dbo.SAS_Docs/1452429,,SYDNEY,MANILA STATE,23-Aug-74,,"ASEC, CFED, CASC, CPRS, CPAS, AS, (UTTER, THOMAS EDWARD)",n/a,UNCLASSIFIED
15,odbc://SAS_1970s/dbo.SAS_Docs/1578432,"CUMHURIYET CHARGES ""AMERICAN AGENTS CREATING DIFFICULTIES FOR TURKISH  POLICE IN FIGHT AGAINST NARCOTICS SMUGGLING.""",ANKARA,STATE,12-Aug-74,,"PINT, PFOR, SNAR, TU, DEA, CIA","NARCOTICS, SMUGGLING, INTERGOVERNMENTAL COOPERATION",UNCLASSIFIED
16,odbc://SAS_1970s/dbo.SAS_Docs/1541214,EVACUATION OF AMERICANS FROM CYPRUS,NICOSIA,STATE LONDON,15-Aug-74,,"AEMR, CY",n/a,UNCLASSIFIED
17,odbc://SAS_1970s/dbo.SAS_Docs/1582336,EVACUATION FROM CYPRUS THE FOLLOWING AM CITS/U.S. PERM RESIDENTS  DEPARTED LIMASSOL,NICOSIA,SCS ADANA,10-Aug-74,,"AEMR, CY",n/a,UNCLASSIFIED
18,odbc://SAS_1970s/dbo.SAS_Docs/1484866,,STATE,TEHRAN,30-Aug-74,,"PFOR, CPRS, IR, (FEHANI, ABBAS)",,LIMITED OFFICIAL USE
19,odbc://SAS_1970s/dbo.SAS_Docs/1555856,CYPRUS EVACUEES IN BEIRUT,BEIRUT,STATE,14-Aug-74,,"CASC, AEMR",n/a,LIMITED OFFICIAL USE
20,odbc://SAS_1970s/dbo.SAS_Docs/1601702,,BERLIN,STATE,9-Aug-74,,"PGOV, CASC, WB, GC, UR, (STEINER, ANDREAS ALFRED)",,CONFIDENTIAL
